Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Diagnostics & Research,38.00B
AA,Alcoa,Aluminum,5.51B
AACG,ATA Creativity Global,Education & Training Services,30.92M
AACI,Armada Acquisition I,Shell Companies,87.99M
AACT,Ares Acquisition Corporation II,Shell Companies,653.12M
AADI,Aadi Bioscience,Biotechnology,41.94M
AAGR,African Agriculture Holdings,Farm Products,52.07M
AAL,American Airlines Group,Airlines,9.54B
AAMC,Altisource Asset Management,Asset Management,9.67M
AAME,Atlantic American,Insurance - Life,51.21M
AAN,The Aaron's Company,Rental & Leasing Services,330.29M
AAOI,Applied Optoelectronics,Semiconductors,651.74M
AAON,"AAON, Inc.",Building Products & Equipment,5.80B
AAP,Advance Auto Parts,Specialty Retail,3.71B
AAPL,Apple,Consumer Electronics,"2,886.44B"
AAT,American Assets Trust,REIT - Diversified,1.42B
AAU,Almaden Minerals,Gold,18.54M
AB,AllianceBernstein Holding L.P.,Asset Management,3.67B
ABAT,American Battery Technology Company,Other Industrial Metals & Mining,177.93M
ABBV,AbbVie,Drug Manufacturers - General,289.16B
ABCB,Ameris Bancorp,Banks - Regional,3.53B
ABCL,AbCellera Biologics,Biotechnology,1.58B
ABEO,Abeona Therapeutics,Biotechnology,132.54M
ABEV,Ambev,Beverages - Brewers,43.60B
ABG,Asbury Automotive Group,Auto & Truck Dealerships,4.31B
ABIO,ARCA biopharma,Biotechnology,23.49M
ABL,Abacus Life,Insurance - Life,401.07M
ABLV,Able View,Advertising Agencies,47.57M
ABM,ABM Industries,Specialty Business Services,2.67B
ABNB,Airbnb,Travel Services,90.54B
ABOS,Acumen Pharmaceuticals,Biotechnology,224.11M
ABR,Arbor Realty Trust,REIT - Mortgage,2.83B
ABSI,Absci,Biotechnology,383.84M
ABT,Abbott Laboratories,Medical Devices,197.04B
ABTS,Abits Group,Advertising Agencies,46.20M
ABUS,Arbutus Biopharma,Biotechnology,397.44M
ABVC,ABVC BioPharma,Biotechnology,11.38M
ABVX,Abivax,Biotechnology,694.75M
AC,Associated Capital Group,Capital Markets,733.02M
ACA,Arcosa,Infrastructure Operations,3.84B
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,122.48M
ACAC,Acri Capital Acquisition,Shell Companies,60.07M
ACAD,ACADIA Pharmaceuticals,Biotechnology,4.73B
ACAH,Atlantic Coastal Acquisition,Shell Companies,128.63M
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,195.68M
ACBA,Ace Global Business Acquisition,Shell Companies,41.05M
ACCD,Accolade,Health Information Services,1.13B
ACCO,ACCO Brands,Business Equipment & Supplies,598.98M
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1.18B
ACEL,Accel Entertainment,Gambling,842.94M
ACET,Adicet Bio,Biotechnology,131.22M
ACGL,Arch Capital Group,Insurance - Diversified,28.97B
ACHC,Acadia Healthcare Company,Medical Care Facilities,7.81B
ACHL,Achilles Therapeutics,Biotechnology,37.04M
ACHR,Archer Aviation,Aerospace & Defense,1.57B
ACHV,Achieve Life Sciences,Biotechnology,88.05M
ACI,Albertsons Companies,Grocery Stores,13.18B
ACIC,American Coastal Insurance,Insurance - Property & Casualty,434.15M
ACIU,AC Immune,Biotechnology,448.32M
ACIW,ACI Worldwide,Software - Infrastructure,3.35B
ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,3.76B
ACLX,Arcellx,Biotechnology,2.64B
ACM,AECOM,Engineering & Construction,12.18B
ACMR,ACM Research,Semiconductor Equipment & Materials,1.24B
ACN,Accenture,Information Technology Services,218.17B
ACNB,ACNB Corporation,Banks - Regional,371.53M
ACNT,Ascent Industries Co.,Steel,101.36M
ACON,Aclarion,Health Information Services,2.06M
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,20.32M
ACR,ACRES Commercial Realty,REIT - Mortgage,84.13M
ACRE,Ares Commercial Real Estate,REIT - Mortgage,553.86M
ACRS,Aclaris Therapeutics,Diagnostics & Research,67.76M
ACRV,Acrivon Therapeutics,Biotechnology,106.54M
ACST,Acasti Pharma,Biotechnology,25.94M
ACT,Enact Holdings,Insurance - Specialty,4.50B
ACTG,Acacia Research,Specialty Business Services,375.57M
ACU,Acme United,Household & Personal Products,149.03M
ACVA,ACV Auctions,Auto & Truck Dealerships,2.27B
ACXP,Acurx Pharmaceuticals,Biotechnology,66.22M
ADAG,Adagene,Biotechnology,141.45M
ADAP,Adaptimmune Therapeutics,Biotechnology,199.68M
ADBE,Adobe,Software - Infrastructure,272.04B
ADC,Agree Realty,REIT - Retail,6.29B
ADCT,ADC Therapeutics,Biotechnology,166.93M
ADD,Color Star Technology Co.,Entertainment,3.61M
ADEA,Adeia,Software - Application,1.22B
ADES,Advanced Emissions Solutions,Pollution & Treatment Controls,87.93M
ADI,Analog Devices,Semiconductors,93.77B
ADIL,Adial Pharmaceuticals,Biotechnology,1.92M
ADM,Archer-Daniels-Midland Company,Farm Products,37.05B
ADMA,ADMA Biologics,Biotechnology,1.12B
ADN,Advent Technologies Holdings,Utilities - Renewable,12.84M
ADNT,Adient,Auto Parts,3.15B
ADOC,Edoc Acquisition,Shell Companies,41.92M
ADP,Automatic Data Processing,Staffing & Employment Services,96.80B
ADPT,Adaptive Biotechnologies,Biotechnology,642.79M
ADRT,Ault Disruptive Technologies,Shell Companies,34.04M
ADSE,ADS-TEC Energy,Electrical Equipment & Parts,339.98M
ADSK,Autodesk,Software - Application,51.48B
ADT,ADT Inc.,Security & Protection Services,5.55B
ADTH,AdTheorent Holding Company,Advertising Agencies,172.07M
ADTN,ADTRAN Holdings,Communication Equipment,566.63M
ADTX,Aditxt,Biotechnology,6.74M
ADUS,Addus HomeCare,Medical Care Facilities,1.44B
ADV,Advantage Solutions,Advertising Agencies,1.28B
ADVM,Adverum Biotechnologies,Biotechnology,88.65M
ADXN,Addex Therapeutics,Biotechnology,12.33M
AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,60.48M
AEAE,AltEnergy Acquisition,Shell Companies,80.16M
AEE,Ameren,Utilities - Regulated Electric,18.98B
AEG,Aegon,Insurance - Diversified,11.65B
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,3.88M
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,525.01M
AEI,Alset EHome International,Real Estate - Development,11.39M
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3.82B
AEL,American Equity Investment Life Holding Company,Insurance - Life,4.38B
AEM,Agnico Eagle Mines,Gold,25.52B
AEMD,Aethlon Medical,Medical Devices,4.86M
AENT,Alliance Entertainment Holding,Entertainment,53.00M
AEO,American Eagle Outfitters,Apparel Retail,4.24B
AEON,AEON Biopharma,Biotechnology,261.98M
AEP,American Electric Power Company,Utilities - Regulated Electric,42.28B
AER,AerCap Holdings,Rental & Leasing Services,15.60B
AERT,Aeries Technology,Consulting Services,74.70M
AES,The AES Corporation,Utilities - Diversified,12.07B
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,2.31B
AEVA,Aeva Technologies,Auto Parts,259.82M
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,3.86M
AEYE,AudioEye,Software - Application,54.69M
AEZS,Aeterna Zentaris,Biotechnology,10.29M
AFAR,Aura FAT Projects Acquisition,Shell Companies,63.31M
AFBI,Affinity Bancshares,Banks - Regional,102.28M
AFCG,AFC Gamma,REIT - Specialty,246.52M
AFG,American Financial Group,Insurance - Property & Casualty,10.01B
AFIB,Acutus Medical,Medical Devices,5.13M
AFJK,Aimei Health Technology,Shell Companies,80.77M
AFL,Aflac,Insurance - Life,48.32B
AFMD,Affimed,Biotechnology,99.01M
AFRI,Forafric Global,Farm Products,599.51M
AFRM,Affirm Holdings,Software - Infrastructure,12.87B
AFYA,Afya Limited,Education & Training Services,1.98B
AG,First Majestic Silver,Silver,1.52B
AGAE,Allied Gaming & Entertainment,Entertainment,36.10M
AGBA,AGBA Acquisition,Shell Companies,26.28M
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8.94B
AGE,AgeX Therapeutics,Biotechnology,15.52M
AGEN,Agenus,Biotechnology,272.58M
AGFY,Agrify,Engineering & Construction,1.97M
AGI,Alamos Gold,Gold,5.04B
AGIO,Agios Pharmaceuticals,Biotechnology,1.26B
AGL,agilon health,Medical Care Facilities,3.22B
AGM,Federal Agricultural Mortgage,Credit Services,1.92B
AGM.A,Federal Agricultural Mortgage,Credit Services,1.96B
AGMH,AGM Group Holdings,Software - Application,45.59M
AGNC,AGNC Investment,REIT - Mortgage,6.69B
AGO,Assured Guaranty,Insurance - Specialty,4.32B
AGR,Avangrid,Utilities - Regulated Electric,12.62B
AGRI,AgriFORCE Growing Systems,Farm Products,1.96M
AGRO,Adecoagro,Farm Products,1.17B
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,4.67M
AGS,PlayAGS,Gambling,294.99M
AGTI,Agiliti,Health Information Services,991.10M
AGX,Argan,Engineering & Construction,609.09M
AGYS,Agilysys,Software - Application,1.93B
AHCO,AdaptHealth,Medical Devices,986.10M
AHG,Akso Health Group,Credit Services,20.35M
AHH,Armada Hoffler Properties,REIT - Diversified,1.09B
AHI,Advanced Human Imaging,Software - Application,17.20M
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,60.74M
AI,C3.ai,Information Technology Services,3.18B
AIB,AIB Acquisition,Shell Companies,49.25M
AIG,American International Group,Insurance - Diversified,47.24B
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,26.12M
AIHS,Senmiao Technology,Credit Services,3.48M
AIM,AIM ImmunoTech,Biotechnology,22.23M
AIMAU,Aimfinity Investment I,Shell Companies,46.07K
AIMD,Ainos,Biotechnology,8.37M
AIN,Albany International,Textile Manufacturing,2.98B
AINC,Ashford,Asset Management,11.63M
AIP,Arteris,Semiconductors,191.50M
AIR,AAR Corp.,Aerospace & Defense,2.09B
AIRC,Apartment Income REIT,REIT - Residential,5.22B
AIRE,reAlpha Tech,Real Estate Services,65.30M
AIRG,Airgain,Communication Equipment,36.76M
AIRI,Air Industries Group,Aerospace & Defense,10.70M
AIRS,AirSculpt Technologies,Medical Care Facilities,454.28M
AIRT,Air T,Integrated Freight & Logistics,44.01M
AISP,Airship AI Holdings,Software - Infrastructure,36.10M
AIT,Applied Industrial Technologies,Industrial Distribution,6.54B
AITR,AI Transportation Acquisition,Shell Companies,82.16M
AIU,Meta Data,Education & Training Services,80.08M
AIV,Apartment Investment and Management Company,REIT - Residential,1.14B
AIXI,Xiao-I,Software - Application,136.90M
AIZ,Assurant,Insurance - Specialty,8.76B
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,50.09B
AJX,Great Ajax,REIT - Mortgage,145.86M
AKA,a.k.a. Brands Holding,Internet Retail,107.73M
AKAM,Akamai Technologies,Software - Infrastructure,17.69B
AKAN,Akanda,Drug Manufacturers - Specialty & Generic,1.81M
AKBA,Akebia Therapeutics,Biotechnology,292.00M
AKLI,Akili,Health Information Services,31.74M
AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,2.22B
AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,2.41B
AKR,Acadia Realty Trust,REIT - Retail,1.64B
AKRO,Akero Therapeutics,Biotechnology,1.26B
AKTS,Akoustis Technologies,Communication Equipment,51.02M
AKTX,"Akari Therapeutics,",Biotechnology,14.63M
AKYA,Akoya Biosciences,Medical Instruments & Supplies,259.12M
AL,Air Lease,Rental & Leasing Services,4.51B
ALAR,Alarum Technologies,Software - Infrastructure,67.51M
ALB,Albemarle,Specialty Chemicals,15.10B
ALBT,Avalon GloboCare,Real Estate Services,4.95M
ALC,Alcon,Medical Instruments & Supplies,39.19B
ALCC,AltC Acquisition,Shell Companies,458.59M
ALCE,Alternus Energy Group,Utilities - Renewable,90.60M
ALCO,Alico,Farm Products,210.51M
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,157.19M
ALDX,Aldeyra Therapeutics,Biotechnology,188.23M
ALE,ALLETE,Utilities - Diversified,3.50B
ALEC,Alector,Biotechnology,640.28M
ALEX,Alexander & Baldwin,REIT - Diversified,1.32B
ALG,Alamo Group,Farm & Heavy Construction Machinery,2.41B
ALGM,Allegro MicroSystems,Semiconductors,5.18B
ALGN,Align Technology,Medical Devices,21.17B
ALGS,Aligos Therapeutics,Biotechnology,54.70M
ALGT,Allegiant Travel Company,Airlines,1.46B
ALHC,Alignment Healthcare,Healthcare Plans,1.56B
ALIM,Alimera Sciences,Drug Manufacturers - Specialty & Generic,202.85M
ALIT,Alight,Software - Application,4.72B
ALK,Alaska Air Group,Airlines,4.74B
ALKS,Alkermes,Biotechnology,4.66B
ALKT,Alkami Technology,Software - Application,2.39B
ALL,The Allstate Corporation,Insurance - Property & Casualty,39.35B
ALLE,Allegion,Security & Protection Services,10.59B
ALLG,Allego,Auto Parts,304.58M
ALLK,Allakos,Biotechnology,268.55M
ALLO,Allogene Therapeutics,Biotechnology,540.17M
ALLR,Allarity Therapeutics,Biotechnology,3.02M
ALLT,Allot,Software - Infrastructure,58.53M
ALLY,Ally Financial,Credit Services,10.13B
ALNT,Allient,Electronic Components,455.70M
ALNY,Alnylam Pharmaceuticals,Biotechnology,24.48B
ALOT,AstroNova,Computer Hardware,127.84M
ALPN,Alpine Immune Sciences,Biotechnology,1.14B
ALPP,Alpine 4 Holdings,Metal Fabrication,19.70M
ALRM,Alarm.com Holdings,Software - Application,3.10B
ALRN,Aileron Therapeutics,Biotechnology,17.78M
ALRS,Alerus Financial,Banks - Regional,423.40M
ALSA,Alpha Star Acquisition,Shell Companies,137.41M
ALSN,Allison Transmission Holdings,Auto Parts,5.16B
ALT,Altimmune,Biotechnology,617.35M
ALTG,Alta Equipment Group,Rental & Leasing Services,374.50M
ALTI,AlTi Global,Asset Management,817.00M
ALTM,Arcadium Lithium,Shell Companies,6.55B
ALTO,Alto Ingredients,Specialty Chemicals,173.60M
ALTR,Altair Engineering,Software - Infrastructure,6.80B
ALTU,Altitude Acquisition,Shell Companies,90.56M
ALUR,Allurion Technologies,Medical Devices,159.86M
ALV,Autoliv,Auto Parts,8.85B
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,3.27B
ALVR,AlloVir,Biotechnology,75.28M
ALX,Alexander's,REIT - Retail,1.11B
ALXO,ALX Oncology Holdings,Biotechnology,699.95M
ALYA,Alithya Group,Information Technology Services,135.81M
ALZN,Alzamend Neuro,Biotechnology,6.62M
AM,Antero Midstream,Oil & Gas Midstream,5.85B
AMAL,Amalgamated Financial,Banks - Regional,778.08M
AMAM,Ambrx Biopharma,Biotechnology,1.77B
AMAT,Applied Materials,Semiconductor Equipment & Materials,126.28B
AMBA,Ambarella,Semiconductor Equipment & Materials,2.34B
